timestamp(ms),RCOU.C2,VELE.v_aoa,RCOU.C1,RCOU.C3,RCOU.C4,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ARSP.Airspeed,BARO.Alt,XKF1[1].Roll,XKF1[1].Pitch,XKF1[1].Yaw,VELE.v_ssa,BARO.Temp
839329.6282121453,1523,1.1253615617752075,1523,1572,1497,-0.2019563764333725,0.19999776780605316,-0.1001882404088974,0.47399258613586426,-0.02890753746032715,-14.660038948059082,21.180822372436523,101.60511016845703,2.57,1.73,244.51,1.0375945568084717,33.86
839429.6282121453,1523,1.1644866466522217,1536,1564,1497,-0.2545951306819916,0.23066222667694092,-0.10341133177280426,0.24740536510944366,-0.04680196940898895,-12.125402450561523,21.06795310974121,102.29191589355469,1.5,2.72,244.12,1.0228408575057983,33.86
839529.6282121453,1523,1.2791930437088013,1537,1564,1497,-0.07302495837211609,0.26774364709854126,-0.07857047766447067,0.29809990525245667,0.1836385726928711,-11.793721199035645,20.57705307006836,102.30255889892578,0.83,4.52,243.65,1.0052169561386108,33.86
839629.6282121453,1523,1.1673568487167358,1515,1572,1497,0.034387677907943726,0.23677992820739746,-0.10888579487800598,0.6377735733985901,-0.45617708563804626,-14.036433219909668,19.734539031982422,101.98311614990234,0.95,5.63,243.23,1.099328637123108,33.86
839729.6282121453,1524,1.1737014055252075,1510,1572,1497,0.3912789523601532,0.10718079656362534,-0.04177678003907204,0.8884148001670837,-0.5872935652732849,-13.933223724365234,19.754634857177734,102.3078842163086,3.05,6.52,242.92,1.1413238048553467,33.86
839829.6282121453,1560,1.2186172008514404,1539,1572,1497,0.07108557969331741,0.10327426344156265,-0.02988640032708645,0.6591728925704956,-0.7545375227928162,-12.71887493133545,19.764820098876953,102.8110122680664,3.45,6.99,242.83,1.124908447265625,33.86
839929.6282121453,1609,1.2828185558319092,1518,1572,1497,-0.31562912464141846,0.04384446516633034,-0.028064852580428123,0.6588473320007324,-0.5348808765411377,-10.307635307312012,19.645727157592773,103.26089477539062,1.74,7.29,242.73,1.123448133468628,33.86
840029.6282121453,1661,1.3602126836776733,1503,1572,1499,-0.2663256824016571,-0.1844465434551239,-0.0017257875297218561,0.4632367789745331,-0.24587130546569824,-7.464231014251709,19.45035743713379,103.91043853759766,0.52,6.53,242.69,1.139007568359375,33.86
840129.6282121453,1661,1.3820159435272217,1519,1572,1497,-0.35583558678627014,-0.2163761705160141,0.01062861829996109,0.45798182487487793,-0.3737804889678955,-6.111147403717041,19.25583267211914,104.3177261352539,-1.82,5.06,242.79,1.173802137374878,33.86
840229.6282121453,1640,1.3817138671875,1560,1572,1497,-0.5368369817733765,-0.17625944316387177,0.03512249514460564,0.505548894405365,-0.4511595368385315,-5.9018778800964355,19.119232177734375,104.42154693603516,-4.18,4.21,242.99,1.1699248552322388,33.86
840329.6282121453,1625,1.3426390886306763,1562,1572,1497,-0.5008504986763,-0.12600389122962952,0.08796905726194382,0.5099189877510071,-0.359679639339447,-6.662957191467285,19.44611358642578,104.48011016845703,-7.87,3.4,243.65,1.1912246942520142,33.86
840429.6282121453,1594,1.3492858409881592,1536,1564,1497,-0.46597206592559814,-0.073738232254982,0.12115295231342316,0.47421231865882874,-0.06704286485910416,-7.605214595794678,19.390668869018555,104.80488586425781,-10.1,3.16,244.25,1.082157850265503,33.86
840529.6282121453,1559,1.3124266862869263,1539,1564,1497,-0.26997169852256775,0.08646098524332047,0.06686342507600784,0.37558290362358093,0.6856743693351746,-7.354165077209473,19.553115844726562,105.28138732910156,-12.16,3.8,244.67,1.001994252204895,33.86
840629.6282121453,1551,1.2842284440994263,1514,1516,1497,-0.11713282018899918,0.18608710169792175,-0.04351779818534851,0.26124775409698486,0.07331286370754242,-10.600323677062988,19.344343185424805,104.9539566040039,-12.66,4.55,244.41,1.0347243547439575,33.86
